team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,date,hour,category
QATAR,ECUADOR,42%,50%,8%,0,2,20 NOV 2022,17 : 00,Group A
ENGLAND,IRAN,72%,19%,9%,6,2,21 NOV 2022,14 : 00,Group B
SENEGAL,NETHERLANDS,44%,45%,11%,0,2,21 NOV 2022,17 : 00,Group A
UNITED STATES,WALES,51%,39%,10%,1,1,21 NOV 2022,20 : 00,Group B
ARGENTINA,SAUDI ARABIA,64%,24%,12%,1,2,22 NOV 2022,11 : 00,Group C
DENMARK,TUNISIA,55%,33%,12%,0,0,22 NOV 2022,14 : 00,Group D
MEXICO,POLAND,54%,31%,15%,0,0,22 NOV 2022,17 : 00,Group C
FRANCE,AUSTRALIA,56%,35%,9%,4,1,22 NOV 2022,20 : 00,Group D
MOROCCO,CROATIA,32%,57%,12%,0,0,23 NOV 2022,11 : 00,Group F
GERMANY,JAPAN,65%,22%,13%,1,2,23 NOV 2022,14 : 00,Group E
SPAIN,COSTA RICA,74%,17%,9%,7,0,23 NOV 2022,17 : 00,Group E
BELGIUM,CANADA,46%,43%,11%,1,0,23 NOV 2022,20 : 00,Group F
SWITZERLAND,CAMEROON,43%,46%,11%,1,0,24 NOV 2022,11 : 00,Group G
URUGUAY,KOREA REPUBLIC,49%,38%,13%,0,0,24 NOV 2022,14 : 00,Group H
PORTUGAL,GHANA,55%,35%,10%,3,2,24 NOV 2022,17 : 00,Group H
BRAZIL,SERBIA,53%,34%,13%,2,0,24 NOV 2022,20 : 00,Group G
